id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
43817859,Home in Austin · ★4.50 · 4 bedrooms · 9 beds · 3.5 baths,177821967,ITrip,,78734,30.42584,-97.92792,Entire home/apt,525,2,24,2023-09-17,0.59,26,326,7,
43820536,Home in Austin · ★4.92 · 2 bedrooms · 2 beds · 2 baths,5853976,Kawika,,78745,30.2142,-97.78098,Entire home/apt,,2,36,2023-10-01,0.85,1,0,21,
44519908,Home in Austin · ★4.93 · 2 bedrooms · 2 beds · 2.5 baths,251562269,Alec,,78702,30.26332,-97.7073,Entire home/apt,104,2,137,2023-12-04,3.44,3,340,44,
44522326,Townhouse in Austin · 3 bedrooms · 3 beds · 2.5 baths,39662652,Zoe,,78746,30.26173,-97.81051,Entire home/apt,200,365,1,2020-09-19,0.03,4,364,0,
45240418,Condo in Austin · ★4.21 · 1 bedroom · 1 bed · 1 bath,350284808,Mrs. E,,78741,30.23585,-97.68998,Entire home/apt,,2,19,2021-04-04,0.48,1,0,0,
44530024,Guesthouse in Austin · ★4.99 · Studio · 1 bed · 1 bath,22687460,Sheer,,78702,30.2778,-97.71743,Entire home/apt,,30,136,2023-05-30,3.35,1,0,10,
43843895,Rental unit in Austin · ★4.57 · 1 bedroom · 2 beds · 1 bath,88566861,Kasa,,78701,30.26596,-97.74173,Entire home/apt,130,2,49,2023-11-26,1.16,10,271,12,
45241119,Rental unit in Austin · ★4.90 · 2 bedrooms · 3 beds · 2 baths,243470944,Resort Stay,,78701,30.27166,-97.74756,Entire home/apt,244,2,20,2023-11-19,0.50,17,8,7,
43851052,Home in Austin · 3 bedrooms · 3 beds · 2.5 baths,300366279,Natalie,,78746,30.336,-97.81468,Entire home/apt,2000,1,0,,,1,365,0,
45248532,Home in Austin · ★4.47 · 3 bedrooms · 3 beds · 2 baths,6752394,Joe,,78745,30.22218,-97.80008,Entire home/apt,110,7,15,2023-10-24,0.39,3,25,9,
43856586,Condo in Austin · ★4.80 · 4 bedrooms · 8 beds · 2 baths,4912146,Paul,,78751,30.31996,-97.72896,Entire home/apt,192,2,65,2023-11-26,1.54,21,219,15,
45276565,Home in Austin · ★4.89 · 1 bedroom · 3 beds · 1 bath,7270902,Meshelle,,78702,30.25833,-97.70028,Entire home/apt,103,1,274,2023-12-04,6.95,23,341,76,
44549098,Home in Austin · 1 bedroom · 1 bed · 1 bath,22937174,Ashley,,78752,30.33008,-97.6977,Entire home/apt,,2,1,2021-03-07,0.03,1,0,0,
45277991,Rental unit in Austin · ★5.0 · 3 bedrooms · 4 beds · 3 baths,243470944,Resort Stay,,78701,30.27166,-97.74756,Entire home/apt,377,2,18,2023-09-17,0.46,17,0,1,
43858970,Guesthouse in Austin · ★5.0 · 1 bedroom · 3 beds · 1 bath,65953824,Ally,,78702,30.25688,-97.73317,Entire home/apt,113,2,205,2023-12-07,5.02,6,62,80,
45286400,Home in Austin · 1 bedroom · 1 bed · 1 bath,12399486,Julie,,78704,30.25059,-97.75065,Entire home/apt,100,120,0,,,24,259,0,
44570905,Guest suite in Austin · ★4.97 · 1 bedroom · 1 bed · 1 private bath,10281498,Heather,,78734,30.36129,-97.95726,Private room,269,2,30,2023-10-24,0.74,1,173,3,
45288695,Loft in Austin · 1 bedroom · 2 beds · 1 bath,364671434,Jancee,,78758,30.40976,-97.69738,Entire home/apt,160,1,0,,,1,0,0,
44588257,Tiny home in Austin · ★4.92 · 1 bedroom · 1 bed · 1 bath,183569294,Adam,,78704,30.24973,-97.75176,Entire home/apt,231,2,201,2023-10-13,4.93,1,174,25,
44589630,Rental unit in Austin · ★4.85 · 1 bedroom · 1 bed · 1 bath,414484382,Christine,,78704,30.23903,-97.7825,Entire home/apt,58,1,67,2023-10-31,1.65,30,359,22,
44591348,Home in Austin · 2 bedrooms · 3 beds · 2 baths,23862775,Izabel,,78702,30.25584,-97.73142,Entire home/apt,,2,1,2020-08-16,0.02,1,0,0,
43860065,Rental unit in Austin · ★4.75 · 1 bedroom · 1 bed · 1 bath,286256623,Maris,,78741,30.23977,-97.73055,Entire home/apt,,2,16,2020-12-06,0.38,4,0,0,
43861515,Guest suite in Austin · ★4.89 · 1 bedroom · 1 bed · 1 bath,300958221,Mike,,78702,30.25318,-97.71696,Entire home/apt,112,1,73,2023-10-23,1.73,4,176,15,
43874129,Camper/RV in Austin · ★4.78 · 1 bedroom · 1 bed · 1 private bath,254119744,Sophie,,78719,30.12563,-97.68684,Private room,55,2,46,2023-10-30,1.22,5,350,14,
43874171,Camper/RV in Austin · ★4.53 · 1 bedroom · 1 bed · 1 bath,254119744,Sophie,,78719,30.12607,-97.6849,Entire home/apt,65,2,34,2023-10-23,1.07,5,313,11,
45291164,Townhouse in Austin · 1 bedroom · 1 bed · 1.5 baths,28400251,Marcelo,,78723,30.29992,-97.7026,Private room,,2,2,2021-02-15,0.05,1,0,0,
43897219,Home in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,351387291,Carol Ann,,78750,30.45875,-97.81143,Entire home/apt,99,2,91,2023-11-28,2.17,1,193,21,
44593097,Guesthouse in Austin · ★4.92 · 1 bedroom · 1 bed · 1 bath,29811,Vivian,,78750,30.43238,-97.80673,Entire home/apt,77,30,13,2022-12-29,0.34,6,109,3,
45304375,Rental unit in Austin · ★4.87 · 2 bedrooms · 3 beds · 2 baths,243470944,Resort Stay,,78701,30.27166,-97.74756,Entire home/apt,288,2,15,2023-09-04,0.38,17,0,1,
44593376,Guesthouse in Austin · ★4.92 · 2 bedrooms · 4 beds · 1.5 baths,360892312,Charlene,,78753,30.37153,-97.68225,Entire home/apt,141,1,82,2023-11-05,2.05,1,0,15,
44615672,Home in Austin · ★4.78 · 6 bedrooms · 8 beds · 3 baths,3097100,Devin & Michelle,,78704,30.23894,-97.74521,Entire home/apt,550,3,36,2022-06-12,0.97,3,0,0,
44645345,Rental unit in Austin · ★4.94 · 1 bedroom · 1 bed · 1 bath,32616041,Chelle,,78723,30.31649,-97.67535,Entire home/apt,68,2,189,2023-12-03,4.67,1,120,37,
45312367,Home in Austin · ★5.0 · 3 bedrooms · 6 beds · 2 baths,392411,Victor,,78751,30.31036,-97.72538,Entire home/apt,145,90,3,2023-09-30,0.09,1,259,1,
43907333,Home in Austin · ★5.0 · 5 bedrooms · 6 beds · 5.5 baths,11629952,Carla,,78732,30.39262,-97.87739,Entire home/apt,3500,2,23,2022-10-23,0.56,1,358,0,
43912480,Home in Austin · ★5.0 · 1 bedroom · 2 beds · 1 shared bath,30806712,Tristan,,78732,30.38295,-97.91248,Private room,169,3,7,2021-02-15,0.17,3,177,0,
43912689,Home in Austin · ★4.96 · 4 bedrooms · 5 beds · 3.5 baths,138010924,Garrett,,78702,30.27592,-97.70756,Entire home/apt,446,2,47,2023-10-22,1.16,1,340,10,
45313050,Home in Austin · 4 bedrooms · 5 beds · 2 baths,17986082,Richard,,78741,30.24049,-97.73489,Entire home/apt,,28,2,2020-12-23,0.05,1,0,0,
43912773,Rental unit in Austin · ★4.94 · 1 bedroom · 1 bed · 1 bath,24764247,Jorge,,78703,30.29254,-97.76197,Entire home/apt,119,2,33,2023-11-19,1.46,2,73,18,
43913939,Home in Austin · ★5.0 · 2 bedrooms · 2 beds · 3 baths,2710828,Lisa,,78751,30.32096,-97.72193,Entire home/apt,260,5,28,2023-11-11,0.69,1,54,15,
43942643,Condo in Austin · ★4.80 · 1 bedroom · 1 bed · 1 bath,3837056,Brandon,,78741,30.23216,-97.73369,Entire home/apt,,2,10,2020-09-06,0.24,1,0,0,
43944899,Rental unit in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,43594245,Rocky,,78703,30.27649,-97.75294,Entire home/apt,218,2,16,2023-10-23,0.40,5,11,5,
45987280,Home in Austin · ★4.93 · 3 bedrooms · 2 beds · 3 baths,133295334,Robert,,78702,30.26198,-97.71635,Entire home/apt,,2,43,2023-10-13,2.70,1,0,26,
46010410,Townhouse in Austin · ★5.0 · 10 bedrooms · 26 beds · 8 baths,814883,Kristen,,78702,30.2631,-97.72868,Entire home/apt,1561,1,5,2023-11-21,0.15,13,232,3,
46019048,Townhouse in Austin · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,1972732,Katherine,,78758,30.35515,-97.71296,Entire home/apt,118,7,6,2023-10-08,0.39,1,260,4,
46050600,Guest suite in Austin · ★5.0 · 1 bedroom · 1 bed · 1 bath,1771402,Cindie,,78703,30.29992,-97.77521,Entire home/apt,199,2,8,2023-10-24,0.24,2,330,1,
44648474,Home in Austin · 3 bedrooms · 3 beds · 1.5 baths,51282035,Jordan,,78745,30.21483,-97.78229,Entire home/apt,200,5,2,2022-12-04,0.14,1,0,0,
44661100,Home in Austin · ★4.96 · 1 bedroom · 1 bed · 1.5 baths,3339643,Giulia,,78744,30.18137,-97.76687,Private room,59,1,27,2023-10-28,1.00,1,318,11,
44667552,Home in Austin · ★4.63 · 2 bedrooms · 2 beds · 2.5 baths,263498834,Gabrielle,,78723,30.289206582292046,-97.69999939355095,Entire home/apt,169,3,47,2023-11-29,1.16,1,0,31,
44677991,Home in Austin · ★4.86 · 3 bedrooms · 4 beds · 1 bath,369844945,Bre,,78705,30.29834,-97.72995,Entire home/apt,125,2,121,2023-12-06,2.98,10,13,29,
45467121,Serviced apartment in Austin · ★4.78 · Studio · 2 beds · 1 bath,58385754,Kivaan,,78701,30.27189,-97.74847,Entire home/apt,187,2,9,2023-10-02,0.29,3,349,4,
